 electric dipole polarizability:    15104.186366367150     
 m1, energy weight E*R sum:         455024.14326802036     
 m0, R(E) sum:                      33782.294355871818     
 centroid m1/m0:                    13.469308463027202     
               E                R(E)           photodisintegration cross section
         25.60000000        173.23289809       1783.86798844
         25.70000000        170.65852618       1764.22304180
         25.80000000        168.10591571       1744.59682812
         25.90000000        165.55844119       1724.81876592
         26.00000000        162.99680983       1704.68770312
         26.10000000        160.39994498       1683.98065517
         26.20000000        157.74649647       1662.46836389
         26.30000000        155.01684742       1639.93647246
         26.40000000        152.19535813       1616.20970266
         26.50000000        149.27247825       1591.17516944
         26.60000000        146.24631804       1564.80041793
         26.70000000        143.12333624       1537.14235143
         26.80000000        139.91797404       1508.34496534
         26.90000000        136.65129494       1478.62623452
         27.00000000        133.34890153       1448.25682082
         27.10000000        130.03852671       1417.53472735
         27.20000000        126.74770675       1386.76026827
         27.30000000        123.50185516       1356.21487758
         27.40000000        120.32291445       1326.14582242
         27.50000000        117.22862011       1296.75736323
         27.60000000        114.23230350       1268.20771957
         27.70000000        111.34310182       1240.61052354
         27.80000000        108.56642901       1214.03924224
         27.90000000        105.90457758       1188.53318305
         28.00000000        103.35735196       1164.10399938
         28.10000000        100.92266742       1140.74195952
         28.20000000         98.59707738       1118.42154843
         28.30000000         96.37621382       1097.10620732
         28.40000000         94.25513984       1076.75217580
         28.50000000         92.22862166       1057.31149569
         28.60000000         90.29133140       1038.73428404
         28.70000000         88.43799290       1020.97039799
         28.80000000         86.66348251       1003.97061214
         28.90000000         84.96289495        987.68741576
         29.00000000         83.33158323        972.07552128
         29.10000000         81.76517924        957.09215833
         29.20000000         80.25960081        942.69721206
         29.30000000         78.81104923        928.85325141
         29.40000000         77.41600038        915.52548170
         29.50000000         76.07119190        902.68164736
         29.60000000         74.77360801        890.29190359
         29.70000000         73.52046314        878.32867074
         29.80000000         72.30918526        866.76648076
         29.90000000         71.13739948        855.58182269
         30.00000000         70.00291224        844.75299147
         30.10000000         68.90369629        834.25994306
         30.20000000         67.83787672        824.08415751
         30.30000000         66.80371790        814.20851106
         30.40000000         65.79961154        804.61715751
         30.50000000         64.82406563        795.29541890
         30.60000000         63.87569446        786.22968523
         30.70000000         62.95320942        777.40732275
         30.80000000         62.05541067        768.81659033
         30.90000000         61.18117962        760.44656341
         31.00000000         60.32947203        752.28706474
         31.10000000         59.49931182        744.32860160
         31.20000000         58.68978540        736.56230874
         31.30000000         57.90003661        728.97989659
         31.40000000         57.12926203        721.57360431
         31.50000000         56.37670682        714.33615713
         31.60000000         55.64166087        707.26072760
         31.70000000         54.92345539        700.34090042
         31.80000000         54.22145967        693.57064043
         31.90000000         53.53507831        686.94426352
         32.00000000         52.86374853        680.45641007
         32.10000000         52.20693785        674.10202086
         32.20000000         51.56414188        667.87631497
         32.30000000         50.93488235        661.77476971
         32.40000000         50.31870531        655.79310219
         32.50000000         49.71517943        649.92725251
         32.60000000         49.12389452        644.17336836
         32.70000000         48.54446011        638.52779089
         32.80000000         47.97650418        632.98704172
         32.90000000         47.41967195        627.54781105
         33.00000000         46.87362484        622.20694670
         33.10000000         46.33803942        616.96144403
         33.20000000         45.81260653        611.80843661
         33.30000000         45.29703038        606.74518769
         33.40000000         44.79102779        601.76908223
         33.50000000         44.29432747        596.87761959
         33.60000000         43.80666929        592.06840677
         33.70000000         43.32780371        587.33915208
         33.80000000         42.85749115        582.68765936
         33.90000000         42.39550149        578.11182253
         34.00000000         41.94161350        573.60962059
         34.10000000         41.49561443        569.17911294
